,missing_dates
0,2018-12-21 15:18:57
1,2019-01-01 00:51:58
2,2019-01-01 00:31:06
3,2019-01-01 00:39:51
4,2019-01-01 00:48:44
5,2019-01-01 00:15:44
6,2019-01-01 00:28:44
7,2019-01-01 00:50:17
8,2019-01-01 00:57:26
9,2019-01-01 00:38:28
10,2019-01-01 00:38:28
11,2019-01-01 00:41:51
12,2019-01-01 00:27:22
13,2019-01-01 00:04:57
14,2019-01-01 00:36:29
15,2019-01-01 00:25:58
16,2019-01-01 00:46:40
17,2019-01-01 00:04:30
18,2019-01-01 00:06:43
19,2019-01-01 01:25:12
20,2019-01-01 00:17:46
21,2019-01-01 00:59:58
22,2019-01-01 00:25:28
23,2019-01-01 00:20:13
24,2019-01-01 01:14:53
25,2019-01-01 01:18:30
26,2019-01-01 01:18:30
27,2019-01-01 01:35:58
28,2019-01-01 01:13:51
29,2019-01-01 01:32:36
30,2019-01-01 01:55:13
31,2019-01-01 01:18:46
32,2019-01-01 01:45:28
33,2019-01-01 01:18:44
34,2019-01-01 01:38:30
35,2019-01-01 01:12:46
36,2019-01-01 01:46:59
37,2019-01-01 01:42:07
38,2019-01-01 01:22:36
39,2019-01-01 01:40:39
40,2019-01-01 01:34:37
41,2019-01-01 01:48:24
42,2019-01-01 02:10:22
43,2019-01-01 02:03:44
44,2019-01-01 01:35:08
45,2019-01-01 01:36:55
46,2019-01-01 01:01:43
47,2019-01-01 01:53:07
48,2019-01-01 01:10:49
49,2019-01-01 01:39:07
50,2019-01-01 01:48:05
51,2019-01-01 01:12:57
52,2019-01-01 02:01:27
53,2019-01-01 02:12:56
54,2019-01-01 02:41:56
55,2019-01-01 02:46:40
56,2019-01-01 02:36:38
57,2019-01-01 02:14:33
58,2019-01-01 02:56:10
59,2019-01-01 02:53:25
60,2019-01-01 02:15:04
61,2019-01-01 02:16:57
62,2019-01-01 02:18:18
63,2019-01-01 02:46:22
64,2019-01-01 03:18:34
65,2019-01-01 02:06:12
66,2019-01-01 02:31:11
67,2019-01-01 02:49:44
68,2019-01-01 02:24:19
69,2019-01-01 03:12:10
70,2019-01-01 02:15:18
71,2019-01-01 03:59:53
72,2019-01-01 03:52:58
73,2019-01-01 03:22:49
74,2019-01-01 04:02:21
75,2019-01-01 03:08:01
76,2018-12-31 15:37:50
77,2019-01-01 03:18:05
78,2019-01-01 03:36:54
79,2019-01-01 03:04:25
80,2019-01-01 01:02:10
81,2019-01-01 01:05:29
82,2019-01-01 03:10:49
83,2019-01-01 03:03:10
84,2019-01-01 03:39:31
85,2019-01-01 03:57:02
86,2019-01-01 03:37:34
87,2019-01-01 03:11:08
88,2019-01-01 03:21:50
89,2019-01-01 03:29:47
90,2019-01-01 03:47:29
91,2019-01-01 04:03:50
92,2019-01-01 03:31:12
93,2019-01-01 03:31:12
94,2019-01-01 03:00:35
95,2019-01-01 04:10:17
96,2019-01-01 03:59:10
97,2019-01-01 05:01:09
98,2019-01-01 04:55:10
99,2019-01-01 04:55:10
100,2019-01-01 04:33:00
101,2019-01-01 04:45:55
102,2019-01-01 04:22:21
103,2019-01-01 04:06:59
104,2019-01-01 04:25:22
105,2019-01-01 04:26:48
