date,count
2010-09-23,9
2010-09-24,1
2013-11-01,10845
2013-11-02,11258
2013-11-03,9169
2013-11-04,8771
2013-11-05,8698
2013-11-06,9605
2013-11-07,10884
2013-11-08,12289
2013-11-09,12101
2013-11-10,10875
2013-11-11,8728
2013-11-12,10603
2013-11-13,11264
2013-11-14,11941
2013-11-15,13377
2013-11-16,14640
2013-11-17,12290
2013-11-18,11197
2013-11-19,12262
2013-11-20,12927
2013-11-21,13199
2013-11-22,15213
2013-11-23,16863
2013-11-24,14622
2013-11-25,12371
2013-11-26,13407
2013-11-27,15260
2013-11-28,15511
2013-11-29,14779
2013-11-30,16017
2013-12-01,185
2018-12-31,19
2019-01-01,14547
2019-01-02,18213
2019-01-03,20163
2019-01-04,21227
2019-01-05,19640
2019-01-06,17610
2019-01-07,19592
2019-01-08,19245
2019-01-09,20953
2019-01-10,22560
2019-01-11,23621
2019-01-12,20581
2019-01-13,17280
2019-01-14,19630
2019-01-15,20204
2019-01-16,21144
2019-01-17,22415
2019-01-18,21991
2019-01-19,20006
2019-01-20,15290
2019-01-21,13380
2019-01-22,19610
2019-01-23,20931
2019-01-24,21587
2019-01-25,23912
2019-01-26,22047
2019-01-27,18126
2019-01-28,19985
2019-01-29,21173
2019-01-30,21083
2019-01-31,20833
2019-02-01,209
