date,count
2013-11-01,11179
2013-11-02,11483
2013-11-03,9375
2013-11-04,9065
2013-11-05,8946
2013-11-06,9911
2013-11-07,11138
2013-11-08,12533
2013-11-09,12314
2013-11-10,11070
2013-11-11,9001
2013-11-12,10887
2013-11-13,11628
2013-11-14,12226
2013-11-15,13719
2013-11-16,14929
2013-11-17,12454
2013-11-18,11490
2013-11-19,12613
2013-11-20,13303
2013-11-21,13539
2013-11-22,15542
2013-11-23,17112
2013-11-24,14880
2013-11-25,12678
2013-11-26,13790
2013-11-27,15663
2013-11-28,15785
2013-11-29,15141
2013-11-30,16231
2013-12-01,184
